Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10287","","","None","10.161.96.52","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.23.67.85 to 10.161.96.52 : 
10.23.67.85
10.23.67.2
10.23.4.163
?
"
"10287","","","None","10.161.96.53","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.23.67.85 to 10.161.96.53 : 
10.23.67.85
10.23.67.3
?
"
"10114","CVE-1999-0524","","None","10.23.176.17","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
"
"10267","","","None","10.23.176.17","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_6.6.1
SSH supported authentication : publickey,gssapi-keyex,gssapi-with-mic,password
"
"10287","","","None","10.23.176.17","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.23.67.85 to 10.23.176.17 : 
10.23.67.85
10.23.67.2
10.23.176.17
"
"10335","","","None","10.23.176.17","tcp","22","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 22/tcp was found to be open"
"10335","","","None","10.23.176.17","tcp","3306","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 3306/tcp was found to be open"
"10335","","","None","10.23.176.17","tcp","5666","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 5666/tcp was found to be open"
"10550","","","None","10.23.176.17","udp","161","SNMP Query Running Process List Disclosure","The list of processes running on the remote host can be obtained via SNMP.","It is possible to obtain the list of running processes on the remote
host by sending SNMP requests with the OID 1.3.6.1.2.1.25.4.2.1.2

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","
  PID   CPU   MEM COMMAND           ARGS
    1  5032 317640 systemd         --switched-root --system --deserialize 21
    2     8     0 kthreadd        
    3   333     0 ksoftirqd/0     
    5     0     0 kworker/0:0H    
    7     4     0 migration/0     
    8     0     0 rcu_bh          
    9     0     0 rcuob/0         
   10     0     0 rcuob/1         
   11     0     0 rcuob/2         
   12     0     0 rcuob/3         
   13     0     0 rcuob/4         
   14     0     0 rcuob/5         
   15     0     0 rcuob/6         
   16     0     0 rcuob/7         
   17     0     0 rcuob/8         
   18     0     0 rcuob/9         
   19     0     0 rcuob/10        
   20     0     0 rcuob/11        
   21     0     0 rcuob/12        
   22     0     0 rcuob/13        
   23     0     0 rcuob/14        
   24     0     0 rcuob/15        
   25     0     0 rcuob/16        
   26     0     0 rcuob/17        
   27     0     0 rcuob/18        
   28     0     0 rcuob/19        
   29     0     0 rcuob/20        
   30     0     0 rcuob/21        
   31     0     0 rcuob/22        
   32     0     0 rcuob/23        
   33     0     0 rcuob/24        
   34     0     0 rcuob/25        
   35     0     0 rcuob/26        
   36     0     0 rcuob/27        
   37     0     0 rcuob/28        
   38     0     0 rcuob/29        
   39     0     0 rcuob/30        
   40     0     0 rcuob/31        
   41     0     0 rcuob/32        
   42     0     0 rcuob/33        
   43     0     0 rcuob/34        
   44     0     0 rcuob/35        
   45     0     0 rcuob/36        
   46     0     0 rcuob/37        
   47     0     0 rcuob/38        
   48     0     0 rcuob/39        
   49     0     0 rcuob/40        
   50     0     0 rcuob/41        
   51     0     0 rcuob/42        
   52     0     0 rcuob/43        
   53     0     0 rcuob/44        
   54     0     0 rcuob/45        
   55     0     0 rcuob/46        
   56     0     0 rcuob/47        
   57     0     0 rcuob/48        
   58     0     0 rcuob/49        
   59     0     0 rcuob/50        
   60     0     0 rcuob/51        
   61     0     0 rcuob/52        
   62     0     0 rcuob/53        
   63     0     0 rcuob/54        
   64     0     0 rcuob/55        
   65     0     0 rcuob/56        
   66     0     0 rcuob/57        
   67     0     0 rcuob/58        
   68     0     0 rcuob/59        
   69     0     0 rcuob/60        
   70     0     0 rcuob/61        
   71     0     0 rcuob/62        
   72     0     0 rcuob/63        
   73     0     0 rcuob/64        
   74     0     0 rcuob/65        
   75     0     0 rcuob/66        
   76     0     0 rcuob/67        
   77     0     0 rcuob/68        
   78     0     0 rcuob/69        
   79     0     0 rcuob/70        
   80     0     0 rcuob/71        
   81     0     0 rcuob/72        
   82     0     0 rcuob/73        
   83     0     0 rcuob/74        
   84     0     0 rcuob/75        
   85     0     0 rcuob/76        
   86     0     0 rcuob/77        
   87     0     0 rcuob/78        
   88     0     0 rcuob/79        
   89     0     0 rcuob/80        
   90     0     0 rcuob/81        
   91     0     0 rcuob/82        
   92     0     0 rcuob/83        
   93     0     0 rcuob/84        
   94     0     0 rcuob/85        
   95     0     0 rcuob/86        
   96     0     0 rcuob/87        
   97     0     0 rcuob/88        
   98     0     0 rcuob/89        
   99     0     0 rcuob/90        
  100     0     0 rcuob/91        
  101     0     0 rcuob/92        
  102     0     0 rcuob/93        
  103     0     0 rcuob/94        
  104     0     0 rcuob/95        
  105     0     0 rcuob/96        
  106     0     0 rcuob/97        
  107     0     0 rcuob/98        
  108     0     0 rcuob/99        
  109     0     0 rcuob/100       
  110     0     0 rcuob/101       
  111     0     0 rcuob/102       
  112     0     0 rcuob/103       
  113     0     0 rcuob/104       
  114     0     0 rcuob/105       
  115     0     0 rcuob/106       
  116     0     0 rcuob/107       
  117     0     0 rcuob/108       
  118     0     0 rcuob/109       
  119     0     0 rcuob/110       
  120     0     0 rcuob/111       
  121     0     0 rcuob/112       
  122     0     0 rcuob/113       
  123     0     0 rcuob/114       
  124     0     0 rcuob/115       
  125     0     0 rcuob/116       
  126     0     0 rcuob/117       
  127     0     0 rcuob/118       
  128     0     0 rcuob/119       
  129     0     0 rcuob/120       
  130     0     0 rcuob/121       
  131     0     0 rcuob/122       
  132     0     0 rcuob/123       
  133     0     0 rcuob/124       
  134     0     0 rcuob/125       
  135     0     0 rcuob/126       
  136     0     0 rcuob/127       
  137 43357     0 rcu_sched       
  138  5336     0 rcuos/0         
  139  3201     0 rcuos/1         
  140  1214     0 rcuos/2         
  141  4923     0 rcuos/3         
  142  2051     0 rcuos/4         
  143  1409     0 rcuos/5         
  144  5382     0 rcuos/6         
  145  6927     0 rcuos/7         
  146  6235     0 rcuos/8         
  147  3015     0 rcuos/9         
  148  1412     0 rcuos/10        
  149  6826     0 rcuos/11        
  150  6255     0 rcuos/12        
  151  2503     0 rcuos/13        
  152  1408     0 rcuos/14        
  153  5593     0 rcuos/15        
  154     0     0 rcuos/16        
  155     0     0 rcuos/17        
  156     0     0 rcuos/18        
  157     0     0 rcuos/19        
  158     0     0 rcuos/20        
  159     0     0 rcuos/21        
  160     0     0 rcuos/22        
  161     0     0 rcuos/23        
  162     0     0 rcuos/24        
  163     0     0 rcuos/25        
  164     0     0 rcuos/26        
  165     0     0 rcuos/27        
  166     0     0 rcuos/28        
  167     0     0 rcuos/29        
  168     0     0 rcuos/30        
  169     0     0 rcuos/31        
  170     0     0 rcuos/32        
  171     0     0 rcuos/33        
  172     0     0 rcuos/34        
  173     0     0 rcuos/35        
  174     0     0 rcuos/36        
  175     0     0 rcuos/37        
  176     0     0 rcuos/38        
  177     0     0 rcuos/39        
  178     0     0 rcuos/40        
  179     0     0 rcuos/41        
  180     0     0 rcuos/42        
  181     0     0 rcuos/43        
  182     0     0 rcuos/44        
  183     0     0 rcuos/45        
  184     0     0 rcuos/46        
  185     0     0 rcuos/47        
  186     0     0 rcuos/48        
  187     0     0 rcuos/49        
  188     0     0 rcuos/50        
  189     0     0 rcuos/51        
  190     0     0 rcuos/52        
  191     0     0 rcuos/53        
  192     0     0 rcuos/54        
  193     0     0 rcuos/55        
  194     0     0 rcuos/56        
  195     0     0 rcuos/57        
  196     0     0 rcuos/58        
  197     0     0 rcuos/59        
  198     0     0 rcuos/60        
  199     0     0 rcuos/61        
  200     0     0 rcuos/62        
  201     0     0 rcuos/63        
  202     0     0 rcuos/64        
  203     0     0 rcuos/65        
  204     0     0 rcuos/66        
  205     0     0 rcuos/67        
  206     0     0 rcuos/68        
  207     0     0 rcuos/69        
  208     0     0 rcuos/70        
  209     0     0 rcuos/71        
  210     0     0 rcuos/72        
  211     0     0 rcuos/73        
  212     0     0 rcuos/74        
  213     0     0 rcuos/75        
  214     0     0 rcuos/76        
  215     0     0 rcuos/77        
  216     0     0 rcuos/78        
  217     0     0 rcuos/79        
  218     0     0 rcuos/80        
  219     0     0 rcuos/81        
  220     0     0 rcuos/82        
  221     0     0 rcuos/83        
  222     0     0 rcuos/84        
  223     0     0 rcuos/85        
  224     0     0 rcuos/86        
  225     0     0 rcuos/87        
  226     0     0 rcuos/88        
  227     0     0 rcuos/89        
  228     0     0 rcuos/90        
  229     0     0 rcuos/91        
  230     0     0 rcuos/92        
  231     0     0 rcuos/93        
  232     0     0 rcuos/94        
  233     0     0 rcuos/95        
  234     0     0 rcuos/96        
  235     0     0 rcuos/97        
  236     0     0 rcuos/98        
  237     0     0 rcuos/99        
  238     0     0 rcuos/100       
  239     0     0 rcuos/101       
  240     0     0 rcuos/102       
  241     0     0 rcuos/103       
  242     0     0 rcuos/104       
  243     0     0 rcuos/105       
  244     0     0 rcuos/106       
  245     0     0 rcuos/107       
  246     0     0 rcuos/108       
  247     0     0 rcuos/109       
  248     0     0 rcuos/110       
  249     0     0 rcuos/111       
  250     0     0 rcuos/112       
  251     0     0 rcuos/113       
  252     0     0 rcuos/114       
  253     0     0 rcuos/115       
  254     0     0 rcuos/116       
  255     0     0 rcuos/117       
  256     0     0 rcuos/118       
  257     0     0 rcuos/119       
  258     0     0 rcuos/120       
  259     0     0 rcuos/121       
  260     0     0 rcuos/122       
  261     0     0 rcuos/123       
  262     0     0 rcuos/124       
  263     0     0 rcuos/125       
  264     0     0 rcuos/126       
  265     0     0 rcuos/127       
  266    39     0 watchdog/0      
  267    33     0 watchdog/1      
  268    98     0 migration/1     
  269   107     0 ksoftirqd/1     
  271     0     0 kworker/1:0H    
  272    32     0 watchdog/2      
  273    19     0 migration/2     
  274     0     0 ksoftirqd/2     
  276     0     0 kworker/2:0H    
  277    33     0 watchdog/3      
  278     6     0 migration/3     
  279   356     0 ksoftirqd/3     
  281     0     0 kworker/3:0H    
  282    32     0 watchdog/4      
  283     4     0 migration/4     
  284    22     0 ksoftirqd/4     
  286     0     0 kworker/4:0H    
  287    34     0 watchdog/5      
  288   104     0 migration/5     
  289    22     0 ksoftirqd/5     
  291     0     0 kworker/5:0H    
  292    34     0 watchdog/6      
  293    17     0 migration/6     
  294   380     0 ksoftirqd/6     
  296     0     0 kworker/6:0H    
  297    33     0 watchdog/7      
  298     6     0 migration/7     
  299   380     0 ksoftirqd/7     
  302    37     0 watchdog/8      
  303     4     0 migration/8     
  304   526     0 ksoftirqd/8     
  306     0     0 kworker/8:0H    
  307    34     0 watchdog/9      
  308    98     0 migration/9     
  309    21     0 ksoftirqd/9     
  311     0     0 kworker/9:0H    
  312    33     0 watchdog/10     
  313    21     0 migration/10    
  314    24     0 ksoftirqd/10    
  316     0     0 kworker/10:0H   
  317    34     0 watchdog/11     
  318     7     0 migration/11    
  319   520     0 ksoftirqd/11    
  321     0     0 kworker/11:0H   
  322    34     0 watchdog/12     
  323     4     0 migration/12    
  324   523     0 ksoftirqd/12    
  326     0     0 kworker/12:0H   
  327    35     0 watchdog/13     
  328   100     0 migration/13    
  329    21     0 ksoftirqd/13    
  331     0     0 kworker/13:0H   
  332    33     0 watchdog/14     
  333    21     0 migration/14    
  334    24     0 ksoftirqd/14    
  336     0     0 kworker/14:0H   
  337    34     0 watchdog/15     
  338     7     0 migration/15    
  339   517     0 ksoftirqd/15    
  341     0     0 kworker/15:0H   
  342     0     0 khelper         
  343     0     0 kdevtmpfs       
  344     0     0 netns           
  345     0     0 perf            
  346     0     0 writeback       
  347     0     0 kintegrityd     
  348     0     0 bioset          
  349     0     0 kblockd         
  350     0     0 md              
  355    11     0 khungtaskd      
  356     9     0 kswapd0         
  357     1     0 ksmd            
  358    22     0 khugepaged      
  359   690     0 fsnotify_mark   
  360     0     0 crypto          
  368     0     0 kthrotld        
  371     0     0 kmpath_rdacd    
  373     0     0 kpsmoused       
  375     0     0 ipv6_addrconf   
  395     0     0 deferwq         
  427   206     0 kauditd         
  623     0     0 scsi_eh_0       
  624     0     0 scsi_tmf_0      
  625     0     0 vmw_pvscsi_wq_0 
  627     0     0 ata_sff         
  628     0     0 scsi_eh_1       
  629     0     0 scsi_tmf_1      
  630     0     0 scsi_eh_2       
  631     0     0 scsi_tmf_2      
  633     0     0 events_power_ef 
  635     0     0 ttm_swap        
  720     0     0 kdmflush        
  721     0     0 bioset          
  730     0     0 kdmflush        
  731     0     0 bioset          
  746     0     0 xfsalloc        
  747     0     0 xfs_mru_cache   
  748     0     0 xfs-buf/dm-0    
  749     0     0 xfs-data/dm-0   
  750     0     0 xfs-conv/dm-0   
  751     0     0 xfs-cil/dm-0    
  752  2046     0 xfsaild/dm-0    
  830  2784 47768 systemd-journal 
  851     0     0 rpciod          
  852     0   752 lvmetad         -f
  857     0   944 systemd-udevd   
  927     0     0 kworker/0:1H    
  953     0     0 kdmflush        
  955     0     0 bioset          
  957     0     0 kdmflush        
  958     0     0 bioset          
  960     0     0 kdmflush        
  961     0     0 bioset          
  990     0     0 jbd2/sda1-8     
  991     0     0 ext4-rsv-conver 
  992     0     0 ext4-unrsv-conv 
  994    28     0 jbd2/dm-2-8     
  995     0     0 ext4-rsv-conver 
  996     0     0 ext4-unrsv-conv 
  999     0     0 kworker/13:0    
 1004     0     0 jbd2/dm-3-8     
 1005     0     0 ext4-rsv-conver 
 1006     0     0 ext4-unrsv-conv 
 1007  2299     0 jbd2/dm-4-8     
 1008     0     0 ext4-rsv-conver 
 1009     0     0 ext4-unrsv-conv 
 1036   750  1436 auditd          -n
 1048   569   748 audispd         
 1054   318   756 sedispatch      
 1060     1   612 alsactl         -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
 1061     0  2664 abrtd           -d -s
 1063   409  6144 accounts-daemon 
 1065   912  1076 irqbalance      --foreground
 1066     6  1032 chronyd         
 1067  4925  5136 NetworkManager  --no-daemon
 1070   107   996 rtkit-daemon    
 1072    20   640 lsmd            -d
 1074  5607 21712 vmtoolsd        
 1075  7948  2484 dbus-daemon     --system --address=systemd: --nofork --nopidfile --systemd-activation
 1091     0  1412 smartd          -n -q never
 1098   455  1388 avahi-daemon    
 1100     0  2452 abrt-watch-log  -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
 1102     0  4252 ModemManager    
 1106  1932  1560 systemd-logind  
 1107    29  2592 abrt-watch-log  -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption
 1118     0    28 avahi-daemon    
 1122    11   624 gssproxy        -D
 1123 423715 3453360 polkitd         --no-debug
 1146  1050  1904 ksmtuned        /usr/sbin/ksmtuned
 1161     0  1712 wpa_supplicant  -u -f /var/log/wpa_supplicant.log -c /etc/wpa_supplicant/wpa_supplicant.conf -u -f /var/log/wpa_supplicant.log -P /var/run/wpa_s
 1309     0     0 kworker/5:1     
 1410  1088  3972 tuned           -Es /usr/sbin/tuned -l -P
 1414     0  2360 cupsd           -f
 1419     0   608 rhsmcertd       
 1430   718   972 nrpe            -c /etc/nagios/nrpe.cfg -d
 1445   161  1364 crond           -n
 1449     0  2788 gdm             
 1456     0   752 atd             -f
 1461     0   580 rhnsd           
 1563     0  1312 mysqld_safe     /usr/bin/mysqld_safe --basedir=/usr
 2609   196  1240 master          -w
 2671   364  3224 qmgr            -l -t unix -u
 2803 10666830 23215580 mysqld          --basedir=/usr --datadir=/var/lib/mysql --plugin-dir=/usr/lib64/mysql/plugin --log-error=/var/log/mariadb/mariadb.log --open-fil
 3245    55  3096 Xorg            :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-4WCOew/database -seat seat0 -nolisten tcp vt1
 3280  3682  5512 gdm-session-wor 
 3287   977  3608 gnome-session   --autostart /usr/share/gdm/greeter/autostart
 3290     0   264 dbus-launch     --exit-with-session /usr/bin/gnome-session --autostart /usr/share/gdm/greeter/autostart
 3291     0   672 dbus-daemon     --fork --print-pid 4 --print-address 6 --session
 3294     0  2288 at-spi-bus-laun 
 3305     0  1172 dbus-daemon     --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
 3308     0  2180 at-spi2-registr --use-gnome-session
 3332   482  7468 gnome-settings- 
 3339   634  3832 upowerd         
 3343     0  2284 gvfsd           
 3366  9576 703416 gnome-shell     --mode=gdm
 3367     0  2936 colord          
 3375     0  1180 pulseaudio      --start --log-target=syslog
 3407     0  1936 dconf-service   
 3427   278  5112 ibus-daemon     --xim --panel disable
 3434     0  2724 ibus-dconf      
 3438     0  3400 ibus-x11        --kill-daemon
 3475   773 463336 mission-control 
 3477     1  3672 caribou         
 3481     0  3916 goa-daemon      
 3487   837  3312 packagekitd     
 3508   400  2492 goa-identity-se 
 3516   938 53856 gvfs-udisks2-vo 
 3521   302  4712 udisksd         --no-debug
 3539     0  2548 gvfs-gphoto2-vo 
 3543     0  3088 gvfs-afc-volume 
 3548     0  2240 gvfs-goa-volume 
 3552     0  2548 gvfs-mtp-volume 
 3613     0  2656 ibus-engine-sim 
 5139     0     0 kworker/11:1    
 7246     0     0 kworker/2:1H    
 7603     0     0 kworker/10:1H   
 7604     0     0 kworker/5:1H    
 7605     0     0 kworker/6:1H    
 7854     0     0 kworker/9:2     
 8572     0     0 kworker/10:0    
 8829     0     0 kworker/u256:3  
10752     0     0 kworker/1:1H    
11959     0     0 kworker/14:2    
11961     0  4476 local           -t unix
14829     0  3980 cleanup         -z -t unix -u
15750     0     0 kworker/0:1     
15989     0  3928 trivial-rewrite -n rewrite -t unix -u
15992     0     0 kworker/7:1     
16673     0     0 kworker/10:1    
18352     0     0 kworker/4:0     
18842     0     0 kworker/7:0H    
19282     0  3976 cleanup         -z -t unix -u
19290     0  3916 pickup          -l -t unix -u
20088     0     0 kworker/9:1H    
20753     0     0 kworker/6:0     
21042     0     0 kworker/u256:0  
21251     0     0 kworker/13:1    
21678     0     0 kworker/15:2    
22071     0     0 kworker/1:1     
22176     0  3932 bounce          -z -t unix -u
22177     0  3936 bounce          -z -t unix -u
22181     0     0 kworker/8:2     
22462     0     0 kworker/9:0     
22704     0     0 kworker/2:1     
22945     0     0 kworker/12:1    
22950     0     0 kworker/3:1     
23133     0     0 kworker/15:0    
23193     0  4472 local           -t unix
23199     0     0 kworker/14:1    
23874     0     0 kworker/0:2     
23907     0     0 kworker/u256:1  
23950     0     0 kworker/11:2    
24120     0     0 kworker/6:2     
24319     0   364 sleep           60
24369     0     0 kworker/10:2    
24422     0     4 polkitd         
24790     0     0 kworker/4:1H    
31680     0     0 kworker/15:1H   
42466     0     0 kworker/11:1H   
46887     0     0 kworker/5:0     
47134     0     0 kworker/14:0    
49018  5286  7328 snmpd           -LS0-6d -f
60413     0  1108 syslog-ng       
60414  1213 29820 syslog-ng       --no-caps
62282   177  3628 sshd            -D
67099     1     0 kworker/15:1    
74865     0     0 kworker/8:1H    
78040     5     0 kworker/7:2H    
81062     0     0 kworker/12:2    
84525     0     0 kworker/12:1H   
92556     0     0 kworker/4:2     
99081     5     0 kworker/3:0     
99301     1     0 kworker/2:2     
111750     0     0 kworker/14:1H   
116108     1     0 kworker/7:0     
116672     0     0 kworker/0:0     
122243     0     0 kworker/3:1H    
123985     1     0 kworker/8:0     
124300     0     0 kworker/1:0     
127204     0     0 kworker/6:1     
128527     0     0 kworker/13:1H   
"
"10551","","","None","10.23.176.17","udp","161","SNMP Request Network Interfaces Enumeration","The list of network interfaces cards of the remote host can be obtained via
SNMP.","It is possible to obtain the list of the network interfaces installed
on the remote host by sending SNMP requests with the OID 1.3.6.1.2.1.2.1.0

An attacker may use this information to gain more knowledge about
the target host.","Disable the SNMP service on the remote host if you do not use it,
or filter incoming UDP packets going to this port.","","
 Interface 1 information :
 ifIndex       : 1
 ifDescr       : lo
 ifPhysAddress : 


 Interface 2 information :
 ifIndex       : 2
 ifDescr       : eno16780032
 ifPhysAddress : 00505690cf8d


 Interface 3 information :
 ifIndex       : 3
 ifDescr       : eno33559296
 ifPhysAddress : 00505690f6a2

"
