sid	kingdom	category
27001	4	33
27001	4	33
27002	4	33
27002	4	33
27003	4	33
27003	4	33
27004	3	20
27004	3	20
27005	3	20
27005	3	20
27006	3	20
27006	3	20
27007	3	20
27007	3	20
27008	3	20
27008	3	20
27009	3	20
27009	3	20
27010	3	20
27010	3	20
28001	2	35
28001	2	35
28002	2	23
28002	2	23
28003	2	23
28003	2	23
28004	2	23
28004	2	23
28005	3	25
28005	3	25
28006	2	10
28006	2	10
28007	2	23
28007	2	23
28008	2	23
28008	2	23
28009	2	23
28009	2	23
28010	1	23
28010	1	23
28011	2	23
28011	2	23
28012	2	23
28012	2	23
28013	2	23
28013	2	23
28014	2	23
28014	2	23
28015	2	23
28015	2	23
28017	1	23
28017	1	23
28020	5	3
28020	5	3
28022	1	53
28022	1	53
28023	1	53
28023	1	53
28024	1	57
28024	1	57
28025	1	57
28025	1	57
28026	1	57
28026	1	57
28027	1	57
28027	1	57
28028	1	15
28028	1	15
28029	1	57
28029	1	57
28030	1	57
28030	1	57
28031	1	57
28031	1	57
28032	5	2
28032	5	2
28033	2	23
28033	2	23
28034	2	27
28034	2	27
29001	5	42
29001	5	42
29002	2	26
29002	2	26
29003	5	37
29003	5	37
29004	1	17
29004	1	17
29005	1	17
29005	1	17
29006	1	17
29006	1	17
29007	1	17
29007	1	17
29008	5	6
29008	5	6
29009	3	37
29009	3	37
29011	5	51
29011	5	51
29012	5	51
29012	5	51
29998	2	100
29998	2	100
30001	4	46
30001	4	46
30003	4	33
30003	4	33
30004	4	33
30004	4	33
30005	4	33
30005	4	33
30007	4	33
30007	4	33
30008	4	46
30008	4	46
30009	1	54
30009	1	54
30010	4	28
30010	4	28
30011	4	33
30011	4	33
30012	1	43
30012	1	43
30013	4	33
30013	4	33
30015	4	33
30015	4	33
30016	4	33
30016	4	33
30018	1	73
30018	1	73
30019	1	47
30019	1	47
30020	1	73
30020	1	73
30022	4	46
30022	4	46
30023	4	47
30023	4	47
30024	4	46
30024	4	46
30025	4	33
30025	4	33
30026	4	33
30026	4	33
30028	4	33
30028	4	33
30029	4	46
30029	4	46
30030	4	33
30030	4	33
30031	4	30
30031	4	30
30032	4	24
30032	4	24
30033	4	46
30033	4	46
30034	4	66
30034	4	66
30035	4	66
30035	4	66
30036	4	46
30036	4	46
30037	4	33
30037	4	33
30038	4	33
30038	4	33
30039	4	33
30039	4	33
30040	4	28
30040	4	28
30042	5	48
30042	5	48
30043	5	48
30043	5	48
30045	5	48
30045	5	48
30046	5	48
30046	5	48
30047	5	48
30047	5	48
30048	5	48
30048	5	48
30049	5	48
30049	5	48
30050	5	48
30050	5	48
30051	5	48
30051	5	48
30052	5	48
30052	5	48
30053	5	48
30053	5	48
30054	5	48
30054	5	48
30055	5	48
30055	5	48
30056	4	46
30056	4	46
30057	4	30
30057	4	30
30058	4	30
30058	4	30
30059	4	33
30059	4	33
30060	4	33
30060	4	33
30061	4	46
30061	4	46
30062	4	46
30062	4	46
30063	4	46
30063	4	46
30064	4	46
30064	4	46
30065	4	46
30065	4	46
30066	4	46
30066	4	46
30067	4	46
30067	4	46
30068	4	46
30068	4	46
30069	4	46
30069	4	46
30070	4	46
30070	4	46
30071	4	30
30071	4	30
30072	4	66
30072	4	66
32001	2	62
32001	2	62
32003	2	63
32003	2	63
32004	2	63
32004	2	63
32005	2	63
32005	2	63
32006	2	60
32006	2	60
32007	2	60
32007	2	60
32008	2	60
32008	2	60
32009	2	60
32009	2	60
32010	2	60
32010	2	60
32011	2	60
32011	2	60
32012	2	60
32012	2	60
32013	2	60
32013	2	60
32014	2	64
32014	2	64
32016	5	12
32016	5	12
32019	2	53
32019	2	53
32020	2	62
32020	2	62
32021	2	14
32021	2	14
32022	2	9
32022	2	9
32025	2	69
32025	2	69
32026	2	68
32026	2	68
32027	2	63
32027	2	63
32028	2	63
32028	2	63
32029	2	29
32029	2	29
32030	2	63
32030	2	63
32031	2	63
32031	2	63
32032	2	63
32032	2	63
32033	2	42
32033	2	42
32034	2	10
32034	2	10
32035	2	75
32035	2	75
32036	2	11
32036	2	11
32037	2	55
32037	2	55
32038	2	68
32038	2	68
32039	2	7
32039	2	7
32040	2	64
32040	2	64
32041	5	12
32041	5	12
32042	2	60
32042	2	60
32043	2	61
32043	2	61
32044	2	63
32044	2	63
32045	2	60
32045	2	60
32046	2	63
32046	2	63
32047	2	63
32047	2	63
32048	2	64
32048	2	64
