id	name
1	Exploit
2	Authentication
3	Access
4	Malware
5	Policy
6	Denial_Of_Service
7	Suspicious
8	Network
9	Recon
10	Info
11	System
12	Antivirus
13	Application
14	Voip
15	Alert
16	Availability
17	Wireless
18	Inventory
19	Honeypot
20	Database
21	Alarm
22	Analysis
23	Reports
24	Monitor
25	Correlation
26	Correlation_Directives
27	Cross_Correlation_Rules
28	Tools
29	Dashboards
30	Reports
31	Incidents
32	Knowledge_DB
33	Analysis
34	Vulnerabilities
35	Anomalies
36	SIEM_Components
37	SIEM_Components_Servers
38	SIEM_Components_Databases
39	Policy_and_Actions
